time_stamp	px_state	py_state	v_state	sensor_type	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yaw_rate_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010443000000	0.312243	0.58034	0	lidar	0.312243	0.58034	0.6	0.6	5.19994	0	0	0.00691132	0.287757	0.0196602	5.19994	0
1477010443050000	0.779913	0.722413	6.94006	radar	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.000345566	0.0138215	0.211208	0.0876373	3.81773	1.3965
1477010443100000	1.19545	0.535063	10.3167	lidar	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.00103664	0.0207296	0.177869	0.0808428	4.29483	1.14027
1477010443150000	1.03211	0.563929	5.29574	radar	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.00207312	0.0276344	0.232328	0.0723767	3.73094	1.62848
1477010443200000	1.35877	0.703667	5.44229	lidar	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.00345484	0.0345348	0.242874	0.0792752	3.33855	1.75481
1477010443250000	1.71966	0.648446	5.50336	radar	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.00518158	0.0414297	0.233595	0.0747625	3.04874	1.6587
1477010443300000	2.03462	0.698956	5.59738	lidar	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.00725307	0.0483182	0.221374	0.0779532	2.82518	1.57359
1477010443350000	2.27665	0.698632	5.34899	radar	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.00966898	0.0551989	0.21315	0.0798946	2.64297	1.49142
1477010443400000	2.56596	0.724785	5.39145	lidar	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0124289	0.062071	0.204481	0.0846139	2.49237	1.4195
1477010443450000	2.8481	0.709108	5.35318	radar	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.0155325	0.0689333	0.196108	0.0858565	2.3649	1.35091
1477010443500000	3.09645	0.716524	5.32072	lidar	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.0189791	0.0757847	0.189506	0.08716	2.25511	1.29095
1477010443550000	3.39229	0.644275	5.33376	radar	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0.0227684	0.0826241	0.182434	0.0836817	2.15951	1.2364
1477010443600000	3.70716	0.578325	5.43727	lidar	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.0268996	0.0894504	0.175302	0.0816243	2.07589	1.1932
1477010443650000	3.98896	0.594126	5.48086	radar	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0.0313721	0.0962627	0.168955	0.0794735	2.00191	1.15306
1477010443700000	4.27109	0.583745	5.49554	lidar	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.0361852	0.10306	0.163473	0.0784142	1.93569	1.11784
1477010443750000	4.5282	0.601625	5.34108	radar	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.0413382	0.10984	0.158494	0.0771096	1.87465	1.08506
1477010443800000	4.71591	0.675072	5.20054	lidar	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0.0468302	0.116604	0.154044	0.0748334	1.81868	1.05273
1477010443850000	4.96798	0.671294	5.04708	radar	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	0.0526604	0.123349	0.150082	0.0727526	1.7677	1.02362
1477010443900000	5.27045	0.666184	5.13587	lidar	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0.0588279	0.130074	0.14608	0.071104	1.72057	0.997622
1477010443950000	5.53204	0.67154	5.27227	radar	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	0.0653316	0.136779	0.142381	0.0698433	1.67717	0.973822
1477010444000000	5.83254	0.682266	5.33759	lidar	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0.0721706	0.143463	0.139285	0.0688891	1.63721	0.952077
1477010444050000	6.07232	0.624862	5.13119	radar	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	0.0793437	0.150124	0.136197	0.0722168	1.59958	0.936466
1477010444100000	6.32649	0.71538	5.11962	lidar	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	0.0868499	0.156761	0.133287	0.0715122	1.56443	0.917405
1477010444150000	6.57681	0.744203	5.07091	radar	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.0946879	0.163373	0.13052	0.070698	1.53157	0.899409
1477010444200000	6.82284	0.744436	5.05762	lidar	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.102857	0.169959	0.127887	0.0708143	1.50072	0.8835
1477010444250000	7.06415	0.730171	4.87979	radar	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	0.111355	0.176519	0.12542	0.0730346	1.47238	0.8708
1477010444300000	7.27681	0.808519	4.82638	lidar	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	0.120181	0.183051	0.123515	0.072815	1.44604	0.85617
1477010444350000	7.57715	0.822484	5.17089	radar	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	0.129333	0.189554	0.121303	0.0732837	1.42002	0.842841
1477010444400000	7.83225	0.801356	5.16361	lidar	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.138811	0.196027	0.119207	0.0765917	1.39536	0.832858
1477010444450000	8.08009	0.818376	4.98335	radar	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.148612	0.202468	0.117243	0.0807971	1.37206	0.824422
1477010444500000	8.3156	0.834994	4.95946	lidar	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.158735	0.208879	0.115512	0.0860211	1.34993	0.817213
1477010444550000	8.58966	0.92518	5.25875	radar	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.169179	0.215255	0.113724	0.087962	1.32901	0.80695
